atom_id,uc_id,type,FeO_coord,threshold,is_surface_after_pbc,n_pbc_uc,total_interactions,excluded_due_to_pbc,x,y,z
1748,0,FeA,0,4,0,24,0,0,35.4,7.08,49.56
1749,0,FeA,0,4,0,24,0,0,38.94,7.08,49.56
1750,0,FeA,0,4,0,24,0,0,42.48,7.08,49.56
1751,0,FeA,0,4,0,24,0,0,46.02,7.08,49.56
1752,0,FeA,0,4,0,24,0,0,49.56,7.08,49.56
1753,0,FeA,0,4,0,24,0,0,53.1,7.08,49.56
1754,0,FeA,0,4,0,24,0,0,56.64,7.08,49.56
1755,0,FeA,0,4,0,24,0,0,60.18,7.08,49.56
1756,0,FeA,0,4,0,24,0,0,63.72,7.08,49.56
1757,0,FeA,0,4,0,24,0,0,67.26,7.08,49.56
1758,0,FeA,0,4,0,24,0,0,70.8,7.08,49.56
1759,0,FeA,0,4,0,24,0,0,74.34,7.08,49.56
1760,0,FeA,0,4,0,24,0,0,0,10.62,49.56
1761,0,FeA,0,4,0,24,0,0,3.54,10.62,49.56
1762,0,FeA,0,4,0,24,0,0,7.08,10.62,49.56
1763,0,FeA,0,4,0,24,0,0,10.62,10.62,49.56
1764,0,FeA,0,4,0,24,0,0,14.16,10.62,49.56
1765,0,FeA,0,4,0,24,0,0,17.7,10.62,49.56
1766,0,FeA,0,4,0,24,0,0,21.24,10.62,49.56
1767,0,FeA,0,4,0,24,0,0,24.78,10.62,49.56
1768,0,FeA,0,4,0,24,0,0,28.32,10.62,49.56
1769,0,FeA,0,4,0,24,0,0,31.86,10.62,49.56
1770,0,FeA,0,4,0,24,0,0,35.4,10.62,49.56
1771,0,FeA,0,4,0,24,0,0,38.94,10.62,49.56
1772,0,FeA,0,4,0,24,0,0,42.48,10.62,49.56
1773,0,FeA,0,4,0,24,0,0,46.02,10.62,49.56
1774,0,FeA,0,4,0,24,0,0,49.56,10.62,49.56
1775,0,FeA,0,4,0,24,0,0,53.1,10.62,49.56
1776,0,FeA,0,4,0,24,0,0,56.64,10.62,49.56
1777,0,FeA,0,4,0,24,0,0,60.18,10.62,49.56
1778,0,FeA,0,4,0,24,0,0,63.72,10.62,49.56
1779,0,FeA,0,4,0,24,0,0,67.26,10.62,49.56
1780,0,FeA,0,4,0,24,0,0,70.8,10.62,49.56
1781,0,FeA,0,4,0,24,0,0,74.34,10.62,49.56
1782,0,FeA,0,4,0,24,0,0,0,14.16,49.56
1783,0,FeA,0,4,0,24,0,0,3.54,14.16,49.56
1784,0,FeA,0,4,0,24,0,0,7.08,14.16,49.56
1785,0,FeA,0,4,0,24,0,0,10.62,14.16,49.56
1786,0,FeA,0,4,0,24,0,0,14.16,14.16,49.56
1787,0,FeA,0,4,0,24,0,0,17.7,14.16,49.56
1788,0,FeA,0,4,0,24,0,0,21.24,14.16,49.56
1789,0,FeA,0,4,0,24,0,0,24.78,14.16,49.56
1790,0,FeA,0,4,0,24,0,0,28.32,14.16,49.56
1791,0,FeA,0,4,0,24,0,0,31.86,14.16,49.56
1792,0,FeA,0,4,0,24,0,0,35.4,14.16,49.56
1793,0,FeA,0,4,0,24,0,0,38.94,14.16,49.56
1794,0,FeA,0,4,0,24,0,0,42.48,14.16,49.56
1795,0,FeA,0,4,0,24,0,0,46.02,14.16,49.56
1796,0,FeA,0,4,0,24,0,0,49.56,14.16,49.56
1797,0,FeA,0,4,0,24,0,0,53.1,14.16,49.56
1798,0,FeA,0,4,0,24,0,0,56.64,14.16,49.56
1799,0,FeA,0,4,0,24,0,0,60.18,14.16,49.56
1800,0,FeA,0,4,0,24,0,0,63.72,14.16,49.56
1801,0,FeA,0,4,0,24,0,0,67.26,14.16,49.56
1802,0,FeA,0,4,0,24,0,0,70.8,14.16,49.56
1803,0,FeA,0,4,0,24,0,0,74.34,14.16,49.56
1804,0,FeA,0,4,0,24,0,0,0,17.7,49.56
1805,0,FeA,0,4,0,24,0,0,3.54,17.7,49.56
1806,0,FeA,0,4,0,24,0,0,7.08,17.7,49.56
1807,0,FeA,0,4,0,24,0,0,10.62,17.7,49.56
1808,0,FeA,0,4,0,24,0,0,14.16,17.7,49.56
1809,0,FeA,0,4,0,24,0,0,17.7,17.7,49.56
1810,0,FeA,0,4,0,24,0,0,21.24,17.7,49.56
1811,0,FeA,0,4,0,24,0,0,24.78,17.7,49.56
1812,0,FeA,0,4,0,24,0,0,28.32,17.7,49.56
1813,0,FeA,0,4,0,24,0,0,31.86,17.7,49.56
1814,0,FeA,0,4,0,24,0,0,35.4,17.7,49.56
1815,0,FeA,0,4,0,24,0,0,38.94,17.7,49.56
1816,0,FeA,0,4,0,24,0,0,42.48,17.7,49.56
1817,0,FeA,0,4,0,24,0,0,46.02,17.7,49.56
1818,0,FeA,0,4,0,24,0,0,49.56,17.7,49.56
1819,0,FeA,0,4,0,24,0,0,53.1,17.7,49.56
1820,0,FeA,0,4,0,24,0,0,56.64,17.7,49.56
1821,0,FeA,0,4,0,24,0,0,60.18,17.7,49.56
1822,0,FeA,0,4,0,24,0,0,63.72,17.7,49.56
1823,0,FeA,0,4,0,24,0,0,67.26,17.7,49.56
1824,0,FeA,0,4,0,24,0,0,70.8,17.7,49.56
1825,0,FeA,0,4,0,24,0,0,74.34,17.7,49.56
1826,0,FeA,0,4,0,24,0,0,0,21.24,49.56
1827,0,FeA,0,4,0,24,0,0,3.54,21.24,49.56
1828,0,FeA,0,4,0,24,0,0,7.08,21.24,49.56
1829,0,FeA,0,4,0,24,0,0,10.62,21.24,49.56
1830,0,FeA,0,4,0,24,0,0,14.16,21.24,49.56
1831,0,FeA,0,4,0,24,0,0,17.7,21.24,49.56
1832,0,FeA,0,4,0,24,0,0,21.24,21.24,49.56
1833,0,FeA,0,4,0,24,0,0,24.78,21.24,49.56
1834,0,FeA,0,4,0,24,0,0,28.32,21.24,49.56
1835,0,FeA,0,4,0,24,0,0,31.86,21.24,49.56
1836,0,FeA,0,4,0,24,0,0,35.4,21.24,49.56
1837,0,FeA,0,4,0,24,0,0,38.94,21.24,49.56
1838,0,FeA,0,4,0,24,0,0,42.48,21.24,49.56
1839,0,FeA,0,4,0,24,0,0,46.02,21.24,49.56
1840,0,FeA,0,4,0,24,0,0,49.56,21.24,49.56
1841,0,FeA,0,4,0,24,0,0,53.1,21.24,49.56
1842,0,FeA,0,4,0,24,0,0,56.64,21.24,49.56
1843,0,FeA,0,4,0,24,0,0,60.18,21.24,49.56
1844,0,FeA,0,4,0,24,0,0,63.72,21.24,49.56
1845,0,FeA,0,4,0,24,0,0,67.26,21.24,49.56
1846,0,FeA,0,4,0,24,0,0,70.8,21.24,49.56
1847,0,FeA,0,4,0,24,0,0,74.34,21.24,49.56
1848,0,FeA,0,4,0,24,0,0,0,24.78,49.56
1849,0,FeA,0,4,0,24,0,0,3.54,24.78,49.56
1850,0,FeA,0,4,0,24,0,0,7.08,24.78,49.56
1851,0,FeA,0,4,0,24,0,0,10.62,24.78,49.56
1852,0,FeA,0,4,0,24,0,0,14.16,24.78,49.56
1853,0,FeA,0,4,0,24,0,0,17.7,24.78,49.56
1854,0,FeA,0,4,0,24,0,0,21.24,24.78,49.56
1855,0,FeA,0,4,0,24,0,0,24.78,24.78,49.56
1856,0,FeA,0,4,0,24,0,0,28.32,24.78,49.56
1857,0,FeA,0,4,0,24,0,0,31.86,24.78,49.56
1858,0,FeA,0,4,0,24,0,0,35.4,24.78,49.56
1859,0,FeA,0,4,0,24,0,0,38.94,24.78,49.56
1860,0,FeA,0,4,0,24,0,0,42.48,24.78,49.56
1861,0,FeA,0,4,0,24,0,0,46.02,24.78,49.56
1862,0,FeA,0,4,0,24,0,0,49.56,24.78,49.56
1863,0,FeA,0,4,0,24,0,0,53.1,24.78,49.56
1864,0,FeA,0,4,0,24,0,0,56.64,24.78,49.56
1865,0,FeA,0,4,0,24,0,0,60.18,24.78,49.56
1866,0,FeA,0,4,0,24,0,0,63.72,24.78,49.56
1867,0,FeA,0,4,0,24,0,0,67.26,24.78,49.56
1868,0,FeA,0,4,0,24,0,0,70.8,24.78,49.56
1869,0,FeA,0,4,0,24,0,0,74.34,24.78,49.56
1870,0,FeA,0,4,0,24,0,0,0,28.32,49.56
1871,0,FeA,0,4,0,24,0,0,3.54,28.32,49.56
1872,0,FeA,0,4,0,24,0,0,7.08,28.32,49.56
1873,0,FeA,0,4,0,24,0,0,10.62,28.32,49.56
1874,0,FeA,0,4,0,24,0,0,14.16,28.32,49.56
1875,0,FeA,0,4,0,24,0,0,17.7,28.32,49.56
1876,0,FeA,0,4,0,24,0,0,21.24,28.32,49.56
1877,0,FeA,0,4,0,24,0,0,24.78,28.32,49.56
1878,0,FeA,0,4,0,24,0,0,28.32,28.32,49.56
1879,0,FeA,0,4,0,24,0,0,31.86,28.32,49.56
1880,0,FeA,0,4,0,24,0,0,35.4,28.32,49.56
1881,0,FeA,0,4,0,24,0,0,38.94,28.32,49.56
1882,0,FeA,0,4,0,24,0,0,42.48,28.32,49.56
1883,0,FeA,0,4,0,24,0,0,46.02,28.32,49.56
1884,0,FeA,0,4,0,24,0,0,49.56,28.32,49.56
1885,0,FeA,0,4,0,24,0,0,53.1,28.32,49.56
1886,0,FeA,0,4,0,24,0,0,56.64,28.32,49.56
1887,0,FeA,0,4,0,24,0,0,60.18,28.32,49.56
1888,0,FeA,0,4,0,24,0,0,63.72,28.32,49.56
1889,0,FeA,0,4,0,24,0,0,67.26,28.32,49.56
1890,0,FeA,0,4,0,24,0,0,70.8,28.32,49.56
1891,0,FeA,0,4,0,24,0,0,74.34,28.32,49.56
1892,0,FeA,0,4,0,24,0,0,0,31.86,49.56
1893,0,FeA,0,4,0,24,0,0,3.54,31.86,49.56
1894,0,FeA,0,4,0,24,0,0,7.08,31.86,49.56
1895,0,FeA,0,4,0,24,0,0,10.62,31.86,49.56
1896,0,FeA,0,4,0,24,0,0,14.16,31.86,49.56
1897,0,FeA,0,4,0,24,0,0,17.7,31.86,49.56
1898,0,FeA,0,4,0,24,0,0,21.24,31.86,49.56
1899,0,FeA,0,4,0,24,0,0,24.78,31.86,49.56
1900,0,FeA,0,4,0,24,0,0,28.32,31.86,49.56
1901,0,FeA,0,4,0,24,0,0,31.86,31.86,49.56
1902,0,FeA,0,4,0,24,0,0,35.4,31.86,49.56
1903,0,FeA,0,4,0,24,0,0,38.94,31.86,49.56
1904,0,FeA,0,4,0,24,0,0,42.48,31.86,49.56
1905,0,FeA,0,4,0,24,0,0,46.02,31.86,49.56
1906,0,FeA,0,4,0,24,0,0,49.56,31.86,49.56
1907,0,FeA,0,4,0,24,0,0,53.1,31.86,49.56
1908,0,FeA,0,4,0,24,0,0,56.64,31.86,49.56
